id_entrada,id_camara,cars,trucks,buses,bikes,total,nivel_ocupacion,anio,mes,dia,hora,minuto,segundo,carretera_numero,carretera_letra_A,carretera_letra_M,carretera_letra_N,franja_horaria_mañana,franja_horaria_noche,franja_horaria_tarde
1,1004,22,0,0,0,22,1,2025,10,27,8,27,13,40,0,1,0,1,0,0
2,1004,24,1,0,0,25,1,2025,10,27,8,44,57,40,0,1,0,1,0,0
3,1004,17,2,0,0,19,2,2025,10,27,9,2,37,40,0,1,0,1,0,0
4,1004,14,1,0,0,15,1,2025,10,27,9,20,18,40,0,1,0,1,0,0
5,1004,8,0,1,0,9,1,2025,10,27,9,38,0,40,0,1,0,1,0,0
6,1004,12,2,0,0,14,1,2025,10,27,9,55,42,40,0,1,0,1,0,0
7,1004,6,0,0,0,6,0,2025,10,27,10,13,28,40,0,1,0,1,0,0
8,1004,4,0,0,0,4,0,2025,10,27,10,31,15,40,0,1,0,1,0,0
9,1004,2,0,0,0,2,0,2025,10,27,12,40,17,40,0,1,0,0,0,1
10,1004,17,1,0,0,18,1,2025,10,27,12,58,0,40,0,1,0,0,0,1
11,1004,10,3,0,0,13,1,2025,10,27,13,15,47,40,0,1,0,0,0,1
12,1004,17,2,0,0,19,1,2025,10,27,13,20,53,40,0,1,0,0,0,1
13,1004,25,1,0,0,26,1,2025,10,27,13,57,17,40,0,1,0,0,0,1
14,1004,25,2,0,0,27,1,2025,10,27,14,55,36,40,0,1,0,0,0,1
15,1004,24,1,0,0,25,1,2025,10,27,15,13,21,40,0,1,0,0,0,1
16,1004,21,1,0,0,22,1,2025,10,27,15,31,8,40,0,1,0,0,0,1
17,1004,24,1,0,0,25,1,2025,10,27,15,48,55,40,0,1,0,0,0,1
18,1004,21,0,0,0,21,1,2025,10,27,18,2,59,40,0,1,0,0,1,0
19,1004,17,0,0,0,17,1,2025,10,27,18,20,35,40,0,1,0,0,1,0
20,1004,20,0,2,0,22,1,2025,10,27,18,38,12,40,0,1,0,0,1,0
21,1004,17,1,0,0,18,1,2025,10,28,7,56,26,40,0,1,0,1,0,0
22,1004,22,0,1,0,23,1,2025,10,28,8,14,2,40,0,1,0,1,0,0
23,1004,19,0,0,0,19,1,2025,10,28,8,31,39,40,0,1,0,1,0,0
24,1004,21,0,0,0,21,1,2025,10,28,8,49,15,40,0,1,0,1,0,0
25,1004,18,1,0,0,19,2,2025,10,28,9,6,51,40,0,1,0,1,0,0
26,1004,15,0,0,0,15,1,2025,10,28,9,24,27,40,0,1,0,1,0,0
27,1004,12,4,0,0,16,2,2025,10,28,9,42,5,40,0,1,0,1,0,0
28,1004,20,3,0,0,23,1,2025,10,28,13,27,53,40,0,1,0,0,0,1
29,1004,13,0,0,0,13,0,2025,10,28,14,45,45,40,0,1,0,0,0,1
30,1004,22,0,0,0,22,1,2025,10,28,15,3,27,40,0,1,0,0,0,1
31,1004,20,0,0,0,20,1,2025,10,28,15,21,13,40,0,1,0,0,0,1
32,1004,19,0,0,0,19,1,2025,10,28,15,39,1,40,0,1,0,0,0,1
33,1004,13,1,0,0,14,1,2025,10,28,15,56,46,40,0,1,0,0,0,1
34,1004,18,2,0,0,20,1,2025,10,28,17,49,6,40,0,1,0,0,0,1
35,1004,22,0,0,0,22,1,2025,10,28,18,6,43,40,0,1,0,0,1,0
36,1004,22,0,0,0,22,1,2025,10,28,18,24,22,40,0,1,0,0,1,0
37,1004,23,0,0,0,23,1,2025,10,28,18,42,2,40,0,1,0,0,1,0
38,1004,15,0,0,0,15,1,2025,10,28,18,59,40,40,0,1,0,0,1,0
39,1004,24,0,0,0,24,1,2025,10,28,19,17,18,40,0,1,0,0,1,0
40,1004,10,0,0,0,10,0,2025,10,28,19,34,55,40,0,1,0,0,1,0
41,1004,9,1,0,0,10,0,2025,10,28,19,52,34,40,0,1,0,0,1,0
42,1004,20,3,0,0,23,1,2025,10,29,8,23,45,40,0,1,0,1,0,0
43,1004,23,0,0,0,23,1,2025,10,29,8,41,21,40,0,1,0,1,0,0
44,1004,20,1,0,0,21,2,2025,10,29,8,58,58,40,0,1,0,1,0,0
45,1004,16,2,0,0,18,1,2025,10,29,9,16,33,40,0,1,0,1,0,0
46,1004,17,3,0,0,20,1,2025,10,29,9,34,9,40,0,1,0,1,0,0
47,1004,16,3,0,0,19,1,2025,10,29,9,51,46,40,0,1,0,1,0,0
48,1004,17,2,0,0,19,1,2025,10,29,10,9,23,40,0,1,0,1,0,0
49,1004,15,3,0,0,18,1,2025,10,29,10,27,2,40,0,1,0,1,0,0
50,1004,15,1,0,0,16,1,2025,10,29,10,44,41,40,0,1,0,1,0,0
51,1004,23,1,0,0,24,1,2025,10,29,12,33,32,40,0,1,0,0,0,1
52,1004,17,1,1,0,19,1,2025,10,29,12,51,13,40,0,1,0,0,0,1
53,1004,15,1,0,0,16,1,2025,10,29,13,8,58,40,0,1,0,0,0,1
54,1004,12,7,0,0,19,1,2025,10,29,13,26,45,40,0,1,0,0,0,1
55,1004,13,1,0,0,14,1,2025,10,29,13,44,29,40,0,1,0,0,0,1
56,1004,23,2,0,0,25,1,2025,10,29,14,44,11,40,0,1,0,0,0,1
57,1004,29,1,0,0,30,1,2025,10,29,15,1,53,40,0,1,0,0,0,1
58,1004,20,3,0,0,23,1,2025,10,29,15,19,39,40,0,1,0,0,0,1
59,1004,24,2,0,0,26,1,2025,10,29,15,37,19,40,0,1,0,0,0,1
60,1004,19,5,0,0,24,1,2025,10,29,15,54,59,40,0,1,0,0,0,1
61,1004,19,0,0,0,19,1,2025,10,30,8,20,36,40,0,1,0,1,0,0
62,1004,16,0,0,0,16,1,2025,10,30,8,38,19,40,0,1,0,1,0,0
63,1004,16,1,0,0,17,0,2025,10,30,8,56,1,40,0,1,0,1,0,0
64,1004,16,0,0,0,16,1,2025,10,30,9,13,53,40,0,1,0,1,0,0
65,1004,13,0,0,0,13,1,2025,10,30,9,31,58,40,0,1,0,1,0,0
66,1004,14,3,0,0,17,1,2025,10,30,9,49,53,40,0,1,0,1,0,0
67,1004,11,0,1,0,12,1,2025,10,30,10,7,43,40,0,1,0,1,0,0
68,1004,14,1,1,0,16,1,2025,10,30,10,25,33,40,0,1,0,1,0,0
69,1004,6,3,0,0,9,1,2025,10,30,10,43,15,40,0,1,0,1,0,0
70,1004,7,0,0,0,7,0,2025,10,30,12,29,48,40,0,1,0,0,0,1
71,1004,10,2,0,0,12,1,2025,10,30,12,47,19,40,0,1,0,0,0,1
