id_camara,carretera,fecha,hora,fecha_descarga,hora_descarga,url_camara
169709,M-614,2024/10/23,12:23:22,2025-10-27,08:27:08,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\169709\169709_2025-10-27_08-27-08.jpg
169708,M-614,2024/10/23,12:23:01,2025-10-27,08:27:08,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\169708\169708_2025-10-27_08-27-08.jpg
826,M-40,2024/10/23,11:11:41,2025-10-27,08:27:09,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\826\826_2025-10-27_08-27-09.jpg
1160,A-6,2024/10/30,15:51:32,2025-10-27,08:27:09,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1160\1160_2025-10-27_08-27-09.jpg
1676,A-4,2024/10/22,14:34:25,2025-10-27,08:27:09,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1676\1676_2025-10-27_08-27-09.jpg
1690,A-4,2024/10/22,16:12:06,2025-10-27,08:27:10,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1690\1690_2025-10-27_08-27-10.jpg
696,A-3,2024/10/22,13:31:51,2025-10-27,08:27:10,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\696\696_2025-10-27_08-27-10.jpg
598,A-1,2024/10/22,11:49:15,2025-10-27,08:27:10,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\598\598_2025-10-27_08-27-10.jpg
972,M-50,2024/10/23,11:42:23,2025-10-27,08:27:10,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\972\972_2025-10-27_08-27-10.jpg
967,M-50,2024/10/23,11:44:03,2025-10-27,08:27:11,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\967\967_2025-10-27_08-27-11.jpg
866,A-6,2024/10/23,10:11:58,2025-10-27,08:27:11,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\866\866_2025-10-27_08-27-11.jpg
877,A-6,2024/10/23,10:20:13,2025-10-27,08:27:11,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\877\877_2025-10-27_08-27-11.jpg
169741,A-6,2025/03/20,11:11:39,2025-10-27,08:27:11,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\169741\169741_2025-10-27_08-27-11.jpg
864,A-6,2024/10/23,10:19:20,2025-10-27,08:27:11,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\864\864_2025-10-27_08-27-11.jpg
971,M-50,2024/10/23,11:42:02,2025-10-27,08:27:11,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\971\971_2025-10-27_08-27-11.jpg
651,M-40,2024/10/23,10:49:10,2025-10-27,08:27:11,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\651\651_2025-10-27_08-27-11.jpg
771,A-42,2024/10/22,17:28:04,2025-10-27,08:27:12,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\771\771_2025-10-27_08-27-12.jpg
773,A-42,2024/10/22,17:28:42,2025-10-27,08:27:12,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\773\773_2025-10-27_08-27-12.jpg
926,M-40,2024/10/30,15:58:03,2025-10-27,08:27:13,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\926\926_2025-10-27_08-27-13.jpg
1010,M-40,2024/10/30,16:00:34,2025-10-27,08:27:13,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1010\1010_2025-10-27_08-27-13.jpg
1004,M-40,2024/10/23,11:16:32,2025-10-27,08:27:13,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1004\1004_2025-10-27_08-27-13.jpg
731,A-4,2024/10/22,14:17:23,2025-10-27,08:27:13,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\731\731_2025-10-27_08-27-13.jpg
1125,A-5,2024/10/22,20:16:21,2025-10-27,08:27:13,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1125\1125_2025-10-27_08-27-13.jpg
791,A-5,2024/10/22,20:20:10,2025-10-27,08:27:13,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\791\791_2025-10-27_08-27-13.jpg
799,A-5,2024/10/30,15:45:13,2025-10-27,08:27:14,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\799\799_2025-10-27_08-27-14.jpg
169372,A-42,2024/10/30,15:43:16,2025-10-27,08:27:14,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\169372\169372_2025-10-27_08-27-14.jpg
634,A-2,2024/10/22,12:25:00,2025-10-27,08:27:14,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\634\634_2025-10-27_08-27-14.jpg
660,A-2,2024/10/22,12:31:14,2025-10-27,08:27:14,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\660\660_2025-10-27_08-27-14.jpg
668,A-2,2024/10/22,12:42:32,2025-10-27,08:27:14,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\668\668_2025-10-27_08-27-14.jpg
798,A-5,2024/10/22,20:16:52,2025-10-27,08:27:14,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\798\798_2025-10-27_08-27-14.jpg
872,A-6,2024/10/23,10:27:34,2025-10-27,08:27:14,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\872\872_2025-10-27_08-27-14.jpg
868,A-6,2024/10/23,10:27:10,2025-10-27,08:27:14,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\868\868_2025-10-27_08-27-14.jpg
873,A-6,2024/10/23,10:29:21,2025-10-27,08:27:15,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\873\873_2025-10-27_08-27-15.jpg
1161,A-6,2024/10/23,10:30:46,2025-10-27,08:27:15,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1161\1161_2025-10-27_08-27-15.jpg
1162,A-6,2024/10/23,10:32:47,2025-10-27,08:27:15,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1162\1162_2025-10-27_08-27-15.jpg
1158,A-6,2024/10/23,10:20:42,2025-10-27,08:27:15,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1158\1158_2025-10-27_08-27-15.jpg
897,A-6,2024/10/23,10:40:32,2025-10-27,08:27:15,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\897\897_2025-10-27_08-27-15.jpg
174942,A-6,2025/07/01,09:25:50,2025-10-27,08:27:15,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\174942\174942_2025-10-27_08-27-15.jpg
174943,A-6,2025/07/01,09:38:01,2025-10-27,08:27:15,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\174943\174943_2025-10-27_08-27-15.jpg
174945,A-6,2025/07/01,09:38:36,2025-10-27,08:27:16,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\174945\174945_2025-10-27_08-27-16.jpg
673,A-2,2024/10/22,12:45:51,2025-10-27,08:27:16,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\673\673_2025-10-27_08-27-16.jpg
677,A-2,2024/10/22,12:43:19,2025-10-27,08:27:16,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\677\677_2025-10-27_08-27-16.jpg
1097,A-2,2024/10/22,12:53:26,2025-10-27,08:27:16,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1097\1097_2025-10-27_08-27-16.jpg
705,A-3,2024/10/22,13:35:55,2025-10-27,08:27:17,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\705\705_2025-10-27_08-27-17.jpg
726,A-3,2024/10/22,13:48:42,2025-10-27,08:27:17,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\726\726_2025-10-27_08-27-17.jpg
175471,N-6,2025/07/01,09:44:09,2025-10-27,08:27:17,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\175471\175471_2025-10-27_08-27-17.jpg
169709,M-614,2024/10/23,12:23:22,2025-10-27,08:44:48,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\169709\169709_2025-10-27_08-44-48.jpg
169708,M-614,2024/10/23,12:23:01,2025-10-27,08:44:49,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\169708\169708_2025-10-27_08-44-49.jpg
826,M-40,2024/10/23,11:11:41,2025-10-27,08:44:50,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\826\826_2025-10-27_08-44-50.jpg
1160,A-6,2024/10/30,15:51:32,2025-10-27,08:44:50,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1160\1160_2025-10-27_08-44-50.jpg
1676,A-4,2024/10/22,14:34:25,2025-10-27,08:44:51,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1676\1676_2025-10-27_08-44-51.jpg
1690,A-4,2024/10/22,16:12:06,2025-10-27,08:44:52,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1690\1690_2025-10-27_08-44-52.jpg
696,A-3,2024/10/22,13:31:51,2025-10-27,08:44:52,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\696\696_2025-10-27_08-44-52.jpg
598,A-1,2024/10/22,11:49:15,2025-10-27,08:44:52,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\598\598_2025-10-27_08-44-52.jpg
972,M-50,2024/10/23,11:42:23,2025-10-27,08:44:53,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\972\972_2025-10-27_08-44-53.jpg
967,M-50,2024/10/23,11:44:03,2025-10-27,08:44:53,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\967\967_2025-10-27_08-44-53.jpg
866,A-6,2024/10/23,10:11:58,2025-10-27,08:44:53,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\866\866_2025-10-27_08-44-53.jpg
877,A-6,2024/10/23,10:20:13,2025-10-27,08:44:54,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\877\877_2025-10-27_08-44-54.jpg
169741,A-6,2025/03/20,11:11:39,2025-10-27,08:44:54,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\169741\169741_2025-10-27_08-44-54.jpg
864,A-6,2024/10/23,10:19:20,2025-10-27,08:44:55,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\864\864_2025-10-27_08-44-55.jpg
971,M-50,2024/10/23,11:42:02,2025-10-27,08:44:55,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\971\971_2025-10-27_08-44-55.jpg
651,M-40,2024/10/23,10:49:10,2025-10-27,08:44:55,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\651\651_2025-10-27_08-44-55.jpg
771,A-42,2024/10/22,17:28:04,2025-10-27,08:44:56,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\771\771_2025-10-27_08-44-56.jpg
773,A-42,2024/10/22,17:28:42,2025-10-27,08:44:57,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\773\773_2025-10-27_08-44-57.jpg
926,M-40,2024/10/30,15:58:03,2025-10-27,08:44:57,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\926\926_2025-10-27_08-44-57.jpg
1010,M-40,2024/10/30,16:00:34,2025-10-27,08:44:57,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1010\1010_2025-10-27_08-44-57.jpg
1004,M-40,2024/10/23,11:16:32,2025-10-27,08:44:57,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1004\1004_2025-10-27_08-44-57.jpg
731,A-4,2024/10/22,14:17:23,2025-10-27,08:44:58,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\731\731_2025-10-27_08-44-58.jpg
1125,A-5,2024/10/22,20:16:21,2025-10-27,08:44:58,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1125\1125_2025-10-27_08-44-58.jpg
791,A-5,2024/10/22,20:20:10,2025-10-27,08:44:59,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\791\791_2025-10-27_08-44-59.jpg
799,A-5,2024/10/30,15:45:13,2025-10-27,08:44:59,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\799\799_2025-10-27_08-44-59.jpg
169372,A-42,2024/10/30,15:43:16,2025-10-27,08:44:59,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\169372\169372_2025-10-27_08-44-59.jpg
634,A-2,2024/10/22,12:25:00,2025-10-27,08:44:59,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\634\634_2025-10-27_08-44-59.jpg
660,A-2,2024/10/22,12:31:14,2025-10-27,08:44:59,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\660\660_2025-10-27_08-44-59.jpg
668,A-2,2024/10/22,12:42:32,2025-10-27,08:45:00,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\668\668_2025-10-27_08-45-00.jpg
798,A-5,2024/10/22,20:16:52,2025-10-27,08:45:00,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\798\798_2025-10-27_08-45-00.jpg
872,A-6,2024/10/23,10:27:34,2025-10-27,08:45:00,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\872\872_2025-10-27_08-45-00.jpg
868,A-6,2024/10/23,10:27:10,2025-10-27,08:45:00,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\868\868_2025-10-27_08-45-00.jpg
873,A-6,2024/10/23,10:29:21,2025-10-27,08:45:00,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\873\873_2025-10-27_08-45-00.jpg
1161,A-6,2024/10/23,10:30:46,2025-10-27,08:45:00,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1161\1161_2025-10-27_08-45-00.jpg
1162,A-6,2024/10/23,10:32:47,2025-10-27,08:45:01,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1162\1162_2025-10-27_08-45-01.jpg
1158,A-6,2024/10/23,10:20:42,2025-10-27,08:45:01,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1158\1158_2025-10-27_08-45-01.jpg
897,A-6,2024/10/23,10:40:32,2025-10-27,08:45:01,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\897\897_2025-10-27_08-45-01.jpg
174942,A-6,2025/07/01,09:25:50,2025-10-27,08:45:01,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\174942\174942_2025-10-27_08-45-01.jpg
174943,A-6,2025/07/01,09:38:01,2025-10-27,08:45:01,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\174943\174943_2025-10-27_08-45-01.jpg
174945,A-6,2025/07/01,09:38:36,2025-10-27,08:45:02,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\174945\174945_2025-10-27_08-45-02.jpg
673,A-2,2024/10/22,12:45:51,2025-10-27,08:45:02,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\673\673_2025-10-27_08-45-02.jpg
677,A-2,2024/10/22,12:43:19,2025-10-27,08:45:02,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\677\677_2025-10-27_08-45-02.jpg
1097,A-2,2024/10/22,12:53:26,2025-10-27,08:45:02,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\1097\1097_2025-10-27_08-45-02.jpg
705,A-3,2024/10/22,13:35:55,2025-10-27,08:45:02,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\705\705_2025-10-27_08-45-02.jpg
726,A-3,2024/10/22,13:48:42,2025-10-27,08:45:02,C:\Users\ricky\OneDrive\Escritorio\Camaras_Madrid\726\726_2025-10-27_08-45-02.jpg
