epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,777.34,1.2115,1.02563,1.07066,0.84365,0.82927,0.89942,0.60997,1.15795,0.82729,1.07803,0.000415112,0.000415112,0.000415112
2,1552.71,1.22109,0.93494,1.09407,0.86513,0.83521,0.9146,0.61418,1.22859,0.88201,1.14569,0.000823544,0.000823544,0.000823544
3,2331.12,1.27691,0.94125,1.15988,0.86041,0.82924,0.90957,0.59021,1.2808,0.89631,1.17052,0.00122373,0.00122373,0.00122373
4,3293.94,1.26093,0.87034,1.11299,0.87775,0.85059,0.92014,0.58543,1.33962,0.77914,1.13655,0.00121287,0.00121287,0.00121287
5,4091.89,1.37911,1.088,1.17669,0.8336,0.83244,0.90722,0.59863,1.24945,0.87796,1.16042,0.0012005,0.0012005,0.0012005
6,4862,1.25582,0.85234,1.13005,0.86995,0.87815,0.9312,0.61085,1.2733,0.78818,1.17235,0.00118812,0.00118812,0.00118812
7,5649.32,1.24567,0.75453,1.12424,0.88945,0.85486,0.93643,0.63069,1.22924,0.7036,1.13998,0.00117575,0.00117575,0.00117575
8,6432.42,1.22123,0.74454,1.12079,0.88776,0.86949,0.94007,0.66092,1.16976,0.70405,1.12509,0.00116337,0.00116337,0.00116337
9,7213.18,1.19916,0.71767,1.10403,0.86056,0.87834,0.9385,0.64458,1.1856,0.70781,1.13397,0.001151,0.001151,0.001151
10,8023.02,1.18737,0.76545,1.09342,0.87514,0.86773,0.94104,0.64848,1.12803,0.68402,1.08913,0.00113863,0.00113863,0.00113863
11,8821.07,1.16724,0.68486,1.06887,0.87132,0.91035,0.95591,0.66533,1.13265,0.64899,1.08583,0.00112625,0.00112625,0.00112625
12,9648.52,1.12934,0.7089,1.06549,0.88836,0.85774,0.93443,0.66053,1.1326,0.70072,1.11901,0.00111388,0.00111388,0.00111388
13,10442.6,1.19802,0.81548,1.11273,0.85295,0.8666,0.93248,0.64715,1.14949,0.70704,1.09673,0.0011015,0.0011015,0.0011015
14,11236.2,1.14022,0.70023,1.08332,0.86075,0.90377,0.94809,0.66913,1.10839,0.66276,1.07305,0.00108913,0.00108913,0.00108913
15,12029.5,1.14354,0.69299,1.07226,0.84536,0.88047,0.93955,0.66343,1.14969,0.75216,1.10734,0.00107675,0.00107675,0.00107675
16,12837.2,1.07831,0.62105,1.03587,0.88992,0.89755,0.96023,0.67898,1.10643,0.60243,1.06539,0.00106437,0.00106437,0.00106437
17,13624.5,1.10426,0.62952,1.04776,0.89582,0.91771,0.9602,0.67372,1.16294,0.60802,1.09603,0.001052,0.001052,0.001052
18,14404.5,1.09913,0.62432,1.04715,0.86545,0.92676,0.95692,0.67594,1.08361,0.60183,1.04523,0.00103962,0.00103962,0.00103962
19,15181.6,1.10143,0.65334,1.03079,0.87093,0.89968,0.95332,0.67725,1.15217,0.63689,1.07891,0.00102725,0.00102725,0.00102725
